blind_id,run_id,policy_id,model_family,prompt_strategy,prompt_set,strategy,corpus,flesch_reading_ease,word_compression_ratio,gemini_support_rate,gemini_weighted_alignment,coverage_weighted_rate,omission_rate,distortion_rate,hallucination_rate,minicheck_mean_probability
S479,61519cd4-14cb-4925-8372-7079b29d89b9,OPP01,gpt,basic_direct,basic,direct,OPP-115,30.22,0.3084,1.0,1.0,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9519248530268669
S405,bde39716-1655-4148-b496-232f220cc13b,OPP01,gpt,basic_role_guided,basic,role_guided,OPP-115,27.97,0.2564,0.9444444444444444,0.9722222222222222,0.8181818181818182,0.1212121212121212,0.05555555555555555,0.0,0.909950921105014
S187,2fe45eea-2e87-49b9-8dd3-9d7794f57c3a,OPP01,gpt,basic_structured,basic,structured,OPP-115,24.25,0.2924,0.9523809523809523,0.9761904761904762,0.7272727272727273,0.0909090909090909,0.047619047619047616,0.0,0.909130375300135
S214,dda12a56-8b63-42cd-9a30-07fed41eb765,OPP01,gpt,safety_focused_direct,safety_focused,direct,OPP-115,28.42,0.5918,0.9722222222222222,0.9861111111111112,1.0,0.0,0.027777777777777776,0.0,0.9472023058268759
S442,af1edb57-10b6-41f3-b87f-118a1431c888,OPP01,gpt,safety_focused_role_guided,safety_focused,role_guided,OPP-115,28.73,0.6022,0.975,0.975,0.9696969696969696,0.0303030303030303,0.0,0.025,0.9307513760402799
S081,6f20befb-de9f-45d5-808e-90c08363f7a1,OPP01,gpt,safety_focused_structured,safety_focused,structured,OPP-115,29.5,0.5821,1.0,1.0,0.9393939393939394,0.0606060606060606,0.0,0.0,0.9569816863214647
S293,3028cb9b-af1b-4c7d-882a-e97f981c5de8,OPP01,llama,basic_direct,basic,direct,OPP-115,32.57,0.2107,0.7142857142857143,0.8214285714285714,0.4393939393939394,0.5151515151515151,0.21428571428571427,0.07142857142857142,0.9484380526202065
S298,7093d64d-2f2d-4834-a421-5fc804d91aef,OPP01,llama,basic_role_guided,basic,role_guided,OPP-115,26.81,0.1733,1.0,1.0,0.3636363636363636,0.5757575757575758,0.0,0.0,0.9613521099090576
S136,7b93ae3b-f7d5-4436-bbd2-dc2265d6524e,OPP01,llama,basic_structured,basic,structured,OPP-115,32.55,0.2176,1.0,1.0,0.5303030303030303,0.4242424242424242,0.0,0.0,0.9701298435529073
S005,1bf69b9d-6061-49bb-ab21-3770d691c2d6,OPP01,llama,safety_focused_direct,safety_focused,direct,OPP-115,34.47,0.2654,1.0,1.0,0.4848484848484848,0.4545454545454545,0.0,0.0,0.9016316736737887
S309,82fa01bd-1898-4805-89d7-061330a2de35,OPP01,llama,safety_focused_role_guided,safety_focused,role_guided,OPP-115,27.18,0.3008,1.0,1.0,0.5,0.3939393939393939,0.0,0.0,0.8940887890756131
S346,2a242fb2-54f7-4b6c-89fa-601d75eb52a1,OPP01,llama,safety_focused_structured,safety_focused,structured,OPP-115,28.03,0.2751,1.0,1.0,0.5454545454545454,0.3636363636363636,0.0,0.0,0.9762906266583337
S166,6cd82697-c95c-487c-b25f-c76f1b16bec4,OPP01,mistral,basic_direct,basic,direct,OPP-115,40.94,0.203,1.0,1.0,0.5909090909090909,0.3939393939393939,0.0,0.0,0.8000348689300674
