dataset,category,unit_count,unit_percent,policies_with_category,policy_count,policy_prevalence_percent
OPP historical,First Party Collection/Use,317,31.45,27,27,100.00
OPP historical,Third Party Sharing/Collection,271,26.88,27,27,100.00
OPP historical,User Choice/Control,130,12.90,27,27,100.00
OPP historical,"User Access, Edit and Deletion",43,4.27,17,27,62.96
OPP historical,Data Retention,13,1.29,10,27,37.04
OPP historical,Data Security,57,5.65,25,27,92.59
OPP historical,Policy Change,28,2.78,23,27,85.19
OPP historical,Do Not Track,7,0.69,7,27,25.93
OPP historical,International and Specific Audiences,62,6.15,23,27,85.19
OPP historical,Other,80,7.94,23,27,85.19
Contemporary human reference,First Party Collection/Use,71,43.03,3,3,100.00
Contemporary human reference,Third Party Sharing/Collection,41,24.85,3,3,100.00
Contemporary human reference,User Choice/Control,13,7.88,3,3,100.00
Contemporary human reference,"User Access, Edit and Deletion",5,3.03,2,3,66.67
Contemporary human reference,Data Retention,8,4.85,3,3,100.00
Contemporary human reference,Data Security,6,3.64,3,3,100.00
Contemporary human reference,Policy Change,6,3.64,3,3,100.00
Contemporary human reference,Do Not Track,2,1.21,1,3,33.33
Contemporary human reference,International and Specific Audiences,7,4.24,3,3,100.00
Contemporary human reference,Other,6,3.64,3,3,100.00
Contemporary Gemini validated additions,First Party Collection/Use,1,25.00,1,3,33.33
Contemporary Gemini validated additions,Third Party Sharing/Collection,1,25.00,1,3,33.33
Contemporary Gemini validated additions,User Choice/Control,0,0.00,0,3,0.00
Contemporary Gemini validated additions,"User Access, Edit and Deletion",0,0.00,0,3,0.00
Contemporary Gemini validated additions,Data Retention,0,0.00,0,3,0.00
Contemporary Gemini validated additions,Data Security,0,0.00,0,3,0.00
Contemporary Gemini validated additions,Policy Change,0,0.00,0,3,0.00
Contemporary Gemini validated additions,Do Not Track,0,0.00,0,3,0.00
Contemporary Gemini validated additions,International and Specific Audiences,1,25.00,1,3,33.33
Contemporary Gemini validated additions,Other,1,25.00,1,3,33.33
