category,opp_historical_unit_percent,opp_compatible_subset_percent,contemporary_human_unit_percent,contemporary_minus_historical_pp,contemporary_minus_compatible_subset_pp,difference_direction_stable
First Party Collection/Use,31.45,32.96,43.03,11.58,10.07,Yes
Third Party Sharing/Collection,26.88,27.29,24.85,-2.03,-2.44,Yes
User Choice/Control,12.90,11.78,7.88,-5.02,-3.90,Yes
"User Access, Edit and Deletion",4.27,3.85,3.03,-1.24,-0.82,Yes
Data Retention,1.29,1.25,4.85,3.56,3.60,Yes
Data Security,5.65,5.89,3.64,-2.01,-2.25,Yes
Policy Change,2.78,2.72,3.64,0.86,0.92,Yes
Do Not Track,0.69,0.68,1.21,0.52,0.53,Yes
International and Specific Audiences,6.15,6.23,4.24,-1.91,-1.99,Yes
Other,7.94,7.36,3.64,-4.30,-3.72,Yes
